I'll help you implement the necessary changes to fix the issue where "show_save_as_new" in admin can add without the proper add permission. Let's start by exploring the repository structure and understanding the problem.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "admin_modify.py" | grep -E "(templatetags|admin)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/django/contrib/admin/templatetags/admin_modify.py</function_results>

Let's examine the file mentioned in the problem statement:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/contrib/admin/templatetags/admin_modify.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/contrib/admin/templatetags/admin_modify.py with line numbers:
     1	import json
     2	
     3	from django import template
     4	from django.template.context import Context
     5	
     6	from .base import InclusionAdminNode
     7	
     8	register = template.Library()
     9	
    10	
    11	def prepopulated_fields_js(context):
    12	    """
    13	    Create a list of prepopulated_fields that should render JavaScript for
    14	    the prepopulated fields for both the admin form and inlines.
    15	    """
    16	    prepopulated_fields = []
    17	    if "adminform" in context:
    18	        prepopulated_fields.extend(context["adminform"].prepopulated_fields)
    19	    if "inline_admin_formsets" in context:
    20	        for inline_admin_formset in context["inline_admin_formsets"]:
    21	            for inline_admin_form in inline_admin_formset:
    22	                if inline_admin_form.original is None:
    23	                    prepopulated_fields.extend(inline_admin_form.prepopulated_fields)
    24	
    25	    prepopulated_fields_json = []
    26	    for field in prepopulated_fields:
    27	        prepopulated_fields_json.append(
    28	            {
    29	                "id": "#%s" % field["field"].auto_id,
    30	                "name": field["field"].name,
    31	                "dependency_ids": [
    32	                    "#%s" % dependency.auto_id for dependency in field["dependencies"]
    33	                ],
    34	                "dependency_list": [
    35	                    dependency.name for dependency in field["dependencies"]
    36	                ],
    37	                "maxLength": field["field"].field.max_length or 50,
    38	                "allowUnicode": getattr(field["field"].field, "allow_unicode", False),
    39	            }
    40	        )
    41	
    42	    context.update(
    43	        {
    44	            "prepopulated_fields": prepopulated_fields,
    45	            "prepopulated_fields_json": json.dumps(prepopulated_fields_json),
    46	        }
    47	    )
    48	    return context
    49	
    50	
    51	@register.tag(name="prepopulated_fields_js")
    52	def prepopulated_fields_js_tag(parser, token):
    53	    return InclusionAdminNode(
    54	        parser,
    55	        token,
    56	        func=prepopulated_fields_js,
    57	        template_name="prepopulated_fields_js.html",
    58	    )
    59	
    60	
    61	def submit_row(context):
    62	    """
    63	    Display the row of buttons for delete and save.
    64	    """
    65	    add = context["add"]
    66	    change = context["change"]
    67	    is_popup = context["is_popup"]
    68	    save_as = context["save_as"]
    69	    show_save = context.get("show_save", True)
    70	    show_save_and_add_another = context.get("show_save_and_add_another", True)
    71	    show_save_and_continue = context.get("show_save_and_continue", True)
    72	    has_add_permission = context["has_add_permission"]
    73	    has_change_permission = context["has_change_permission"]
    74	    has_view_permission = context["has_view_permission"]
