I'll help you implement the necessary changes to fix the issue where `runserver 0:8000` displays "Starting development server at http://0:8000/" instead of "Starting development server at http://0.0.0.0:8000/". Let's start by exploring the repository structure and understanding how the runserver command works.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(runserver|management)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/sitemaps_tests/test_management.py
/testbed/tests/admin_scripts/simple_app/management/__init__.py
/testbed/tests/admin_scripts/simple_app/management/commands/duplicate.py
/testbed/tests/admin_scripts/simple_app/management/commands/__init__.py
/testbed/tests/admin_scripts/complex_app/management/__init__.py
/testbed/tests/admin_scripts/complex_app/management/commands/duplicate.py
/testbed/tests/admin_scripts/complex_app/management/commands/__init__.py
/testbed/tests/admin_scripts/management/__init__.py
/testbed/tests/admin_scripts/management/commands/__init__.py
/testbed/tests/admin_scripts/management/commands/noargs_command.py
/testbed/tests/admin_scripts/management/commands/suppress_base_options_command.py
/testbed/tests/admin_scripts/management/commands/label_command.py
/testbed/tests/admin_scripts/management/commands/base_command.py
/testbed/tests/admin_scripts/management/commands/app_command.py
/testbed/tests/admin_scripts/management/commands/custom_startproject.py
/testbed/tests/user_commands/management/__init__.py
/testbed/tests/user_commands/management/commands/required_list_option.py
/testbed/tests/user_commands/management/commands/hal.py
/testbed/tests/user_commands/management/commands/__init__.py
/testbed/tests/user_commands/management/commands/mutually_exclusive_required_with_same_dest.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -path "*/management/commands/runserver.py" -type f</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/django/contrib/staticfiles/management/commands/runserver.py
/testbed/django/core/management/commands/runserver.py</function_results>

Let's look at the main runserver command:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/core/management/commands/runserver.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/core/management/commands/runserver.py with line numbers:
     1	import errno
     2	import os
     3	import re
     4	import socket
     5	import sys
     6	from datetime import datetime
     7	
     8	from django.conf import settings
     9	from django.core.management.base import BaseCommand, CommandError
    10	from django.core.servers.basehttp import WSGIServer, get_internal_wsgi_application, run
    11	from django.utils import autoreload
    12	from django.utils.regex_helper import _lazy_re_compile
    13	
    14	naiveip_re = _lazy_re_compile(
    15	    r"""^(?:
    16	(?P<addr>
    17	    (?P<ipv4>\d{1,3}(?:\.\d{1,3}){3}) |         # IPv4 address
    18	    (?P<ipv6>\[[a-fA-F0-9:]+\]) |               # IPv6 address
    19	    (?P<fqdn>[a-zA-Z0-9-]+(?:\.[a-zA-Z0-9-]+)*) # FQDN
    20	):)?(?P<port>\d+)$""",
    21	    re.X,
    22	)
    23	
    24	
    25	class Command(BaseCommand):
    26	    help = "Starts a lightweight web server for development."
    27	
    28	    # Validation is called explicitly each time the server is reloaded.
    29	    requires_system_checks = []
    30	    stealth_options = ("shutdown_message",)
    31	    suppressed_base_arguments = {"--verbosity", "--traceback"}
    32	
    33	    default_addr = "127.0.0.1"
    34	    default_addr_ipv6 = "::1"
    35	    default_port = "8000"
    36	    protocol = "http"
    37	    server_cls = WSGIServer
    38	
    39	    def add_arguments(self, parser):
    40	        parser.add_argument(
    41	            "addrport", nargs="?", help="Optional port number, or ipaddr:port"
    42	        )
    43	        parser.add_argument(
    44	            "--ipv6",
    45	            "-6",
    46	            action="store_true",
    47	            dest="use_ipv6",
    48	            help="Tells Django to use an IPv6 address.",
    49	        )
    50	        parser.add_argument(
    51	            "--nothreading",
    52	            action="store_false",
    53	            dest="use_threading",
    54	            help="Tells Django to NOT use threading.",
    55	        )
    56	        parser.add_argument(
    57	            "--noreload",
    58	            action="store_false",
    59	            dest="use_reloader",
    60	            help="Tells Django to NOT use the auto-reloader.",
    61	        )
    62	        parser.add_argument(
    63	            "--skip-checks",
    64	            action="store_true",
    65	            help="Skip system checks.",
    66	        )
    67	
    68	    def execute(self, *args, **options):
    69	        if options["no_color"]:
    70	            # We rely on the environment because it's currently the only
    71	            # way to reach WSGIRequestHandler. This seems an acceptable
    72	            # compromise considering `runserver` runs indefinitely.
    73	            os.environ["DJANGO_COLORS"] = "nocolor"
    74	        super().execute(*args, **options)
    75	
    76	    def get_handler(self, *args, **options):
    77	        """Return the default WSGI handler for the runner."""
    78	        return get_internal_wsgi_application()
    79	
    80	    def handle(self, *args, **options):
    81	        if not settings.DEBUG and not settings.ALLOWED_HOSTS:
    82	            raise CommandError("You must set settings.ALLOWED_HOSTS if DEBUG is False.")
    83	
    84	        self.use_ipv6 = options["use_ipv6"]
    85	        if self.use_ipv6 and not socket.has_ipv6:
    86	            raise CommandError("Your Python does not support IPv6.")
    87	        self._raw_ipv6 = False
    88	        if not options["addrport"]:
    89	            self.addr = ""
    90	            self.port = self.default_port
    91	        else:
    92	            m = re.match(naiveip_re, options["addrport"])
    93	            if m is None:
    94	                raise CommandError(
    95	                    '"%s" is not a valid port number '
    96	                    "or address:port pair." % options["addrport"]
    97	                )
    98	            self.addr, _ipv4, _ipv6, _fqdn, self.port = m.groups()
    99	            if not self.port.isdigit():
   100	                raise CommandError("%r is not a valid port number." % self.port)
   101	            if self.addr:
   102	                if _ipv6:
   103	                    self.addr = self.addr[1:-1]
   104	                    self.use_ipv6 = True
   105	                    self._raw_ipv6 = True
   106	                elif self.use_ipv6 and not _fqdn:
   107	                    raise CommandError('"%s" is not a valid IPv6 address.' % self.addr)
   108	        if not self.addr:
   109	            self.addr = self.default_addr_ipv6 if self.use_ipv6 else self.default_addr
   110	            self._raw_ipv6 = self.use_ipv6
   111	        self.run(**options)
   112	
   113	    def run(self, **options):
   114	        """Run the server, using the autoreloader if needed."""
   115	        use_reloader = options["use_reloader"]
   116	
   117	        if use_reloader:
   118	            autoreload.run_with_reloader(self.inner_run, **options)
   119	        else:
   120	            self.inner_run(None, **options)
   121	
   122	    def inner_run(self, *args, **options):
   123	        # If an exception was silenced in ManagementUtility.execute in order
   124	        # to be raised in the child process, raise it now.
   125	        autoreload.raise_last_exception()
   126	
   127	        threading = options["use_threading"]
   128	        # 'shutdown_message' is a stealth option.
   129	        shutdown_message = options.get("shutdown_message", "")
   130	        quit_command = "CTRL-BREAK" if sys.platform == "win32" else "CONTROL-C"
   131	
   132	        if not options["skip_checks"]:
   133	            self.stdout.write("Performing system checks...\n\n")
   134	            self.check(display_num_errors=True)
   135	        # Need to check migrations here, so can't use the
   136	        # requires_migrations_check attribute.
   137	        self.check_migrations()
   138	        now = datetime.now().strftime("%B %d, %Y - %X")
   139	        self.stdout.write(now)
   140	        self.stdout.write(
   141	            (
   142	                "Django version %(version)s, using settings %(settings)r\n"
   143	                "Starting development server at %(protocol)s://%(addr)s:%(port)s/\n"
   144	                "Quit the server with %(quit_command)s."
   145	            )
   146	            % {
   147	                "version": self.get_version(),
   148	                "settings": settings.SETTINGS_MODULE,
   149	                "protocol": self.protocol,
   150	                "addr": "[%s]" % self.addr if self._raw_ipv6 else self.addr,
   151	                "port": self.port,
   152	                "quit_command": quit_command,
   153	            }
   154	        )
   155	
   156	        try:
   157	            handler = self.get_handler(*args, **options)
   158	            run(
   159	                self.addr,
   160	                int(self.port),
   161	                handler,
   162	                ipv6=self.use_ipv6,
   163	                threading=threading,
   164	                server_cls=self.server_cls,
   165	            )
   166	        except OSError as e:
   167	            # Use helpful error messages instead of ugly tracebacks.
   168	            ERRORS = {
   169	                errno.EACCES: "You don't have permission to access that port.",
   170	                errno.EADDRINUSE: "That port is already in use.",
   171	                errno.EADDRNOTAVAIL: "That IP address can't be assigned to.",
   172	            }
   173	            try:
   174	                error_text = ERRORS[e.errno]
   175	            except KeyError:
   176	                error_text = e
   177	            self.stderr.write("Error: %s" % error_text)
   178	            # Need to use an OS exit because sys.exit doesn't work in a thread
   179	            os._exit(1)
   180	        except KeyboardInterrupt:
   181	            if shutdown_message:
   182	                self.stdout.write(shutdown_message)
   183	            sys.exit(0)
   184	</function_results>

Now let's also check the staticfiles version to see if it overrides anything:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/contrib/staticfiles/management/commands/runserver.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/contrib/staticfiles/management/commands/runserver.py with line numbers:
     1	from django.conf import settings
     2	from django.contrib.staticfiles.handlers import StaticFilesHandler
     3	from django.core.management.commands.runserver import Command as RunserverCommand
     4	
     5	
     6	class Command(RunserverCommand):
     7	    help = (
     8	        "Starts a lightweight web server for development and also serves static files."
     9	    )
    10	
    11	    def add_arguments(self, parser):
    12	        super().add_arguments(parser)
    13	        parser.add_argument(
    14	            "--nostatic",
    15	            action="store_false",
